test;тест;испытание, проверка
compassion;сострадание;сочувствие, жалость
empty space;пустое пространство;пустое место
open space;Открытое пространство;простор, открытых пространств
former;бывший;
remaining;оставшийся;остающийся, сохраняющийся
implement;осуществлять;выполнять, осуществить
disaster;катастрофа;бедствие, авария
aesthetic;эстетический;косметический, эстетичный
vapor;пар;пары
since;с;после
realign;перестраивать;перестроить, перестроиться
desire;жаждать;мечтать, хотеть
than;чем;нежели
curiously;любопытно;странно, как ни странно
mild;мягкий;легкий, небольшой
awareness;осведомленность;информированность, осознание
related;связанный;
since;с;после
lull;затишье;временное затишье
amount;сумма;количество, величина
decide;решать;решить, решиться
sequential;последовательный;
aware;осведомленный;
adrift;по течению;
ceased;переставший;
often;часто;зачастую, нередко
jolt;толчок;
thereby;таким образом;
even;даже;еще, хоть
even;даже;еще, хоть
explicit;явный;откровенный, ясный
cheap;дешевый;недорогой, дешевенький
studied;изученный;изучаемый, исследуемый
jolt;толчок;
those;те;
increasingly;усиливающийся;возрастающий
rare;редкий;редкостный, редчайший
slumber;сон;
limb;конечность;часть тела
bedchamber;спальня;
canopy;навес;тент, козырек
couple;пара;супружеская пара, парочка
awake;проснуться;просыпаться, будить
awareness;осведомленность;информированность, осознание
witch;ведьма;колдунья, колдун
which;который;
since;с;после
even;даже;еще, хоть
lacking;недостающий;
bound;связанный;переплетенный
chairman;председатель;председатель комиссии
rage;ярость;бешенство, неистовство
duvet;одеяло;пуховое одеяло
swung;раскачанный;
chamber;камера;
impression;впечатление;ощущение
convincing;убедительный;веский
ridiculous;нелепый;смехотворный, дурацкий
logs;круглый лес;круглые лесоматериалы
settled;установившийся;установленный, устоявшийся
explanation;объяснение;разъяснение, пояснение
though;хотя;впрочем, если бы
enchantment;магия;волшебство
eldritch;жуткий;
creatures;мобы;
chest;грудь;грудная клетка
pin;штифт;штырь, шпилька
apology;извинение;оправдание, прощение
proposition;предложение;
explicit;явный;откровенный, ясный
perfectly;идеально;отлично, прекрасно
reasonable;разумный;рациональный, обоснованный
explanation;объяснение;разъяснение, пояснение
where;где;куда
could;мочь;смочь, уметь
however;однако;
whereby;посредством чего;посредством которого
evolved;развитый;
severed;разъединенный;
throwing;бросание;метание, бросок
degree;степень;уровень, градус
fraction;дробь;дробная часть
impressive;впечатляющий;производящий глубокое впечатление
terrifying;ужасающий;
while;время;промежуток времени
seeming;кажущийся;видимый, показавшийся
slumber;сон;
bound;связанный;переплетенный
consequences;вытекающие последствия;
desultory;отрывочный;бессвязный, бессистемный
further;дальнейший;последующий, следующий
soothe;успокаивать;утешать, умиротворять
weekdays;по рабочим дням;по будням
TRANSMISSION;передача;перенос, пересылка
notion;понятие;представление, идея
brought;доведенный;доводимый
since;с;после
somehow;как-то;
very few;очень мало;весьма мало
compel;заставлять;вынуждать, принуждать
reached;достигнутый;достигаемый, достигший
readily;без труда;легко, быстро
envy;зависть;завистливость
coarse;грубый;шероховатый, жесткий
environs;окрестности;окружение, среда
reveal;раскрыть;раскрывать
however;однако;
actually;на самом деле;фактически, собственно
tinnitus;звон в ушах;шум в ушах, ушной шум
annoying;раздражающий;
he;он;
suffering;страдающий;пострадавший
mild;мягкий;легкий, небольшой
pounded;толченый;
then;затем;потом, тогда
precautions;правила техники безопасности;
tending;стремящийся;
worst;наихудший;самый плохой, худший
necessarily;обязательно;непременно
faucet;вентиль;кран, водопроводный кран
pajama;пижама;
pulled;натянутый;
ostentatious;показной;нарочитый, показушный
estate;имущество;собственность, недвижимость
manner;манера;способ, метод
suspended;подвешенный;висящий
succumbing;уступка;
flared;расклешенный;расширяющийся, расширенный
grandniece;внучатая племянница;
niece;племянница;
ferry;паром;переправа, паромная переправа
affair;дело;событие, вещь
council;Совет;Дума, управа
successfully;успешно;благополучно, удачно
curtailed;урезанный;сокращенный
typhus;сыпной тиф;тиф, брюшной тиф
measure;мера;степень, действие
powered;приведенный;приводимый
inspired;вдохновленный;
inspired;вдохновленный;
infinitely;бесконечно;безгранично, безмерно
apropos;по поводу;
attitude;отношение;подход
derive;выводить;вывести
rigid;жесткий;твердый, строгий
porch;крыльцо;паперть, крылечко
bonding;связь;соединение, связывание
apparatus;устройство;аппарат, прибор
even;даже;еще, хоть
glitter;блестеть;сверкать, блистать
revert;возвращаться;вернуться, вернуть
steamed;пропаренный;
withdrawal;вывод;выход
executing;выполняющийся;исполняющийся
during;в течение;на протяжении
their;их;
grocery;бакалея;
which;который;
bought;купленный;приобретенный, покупаемый
perceived;воспринятый;воспринимаемый
dimly;смутно;неясно, тускло
worn;изношенный;поношенный, истертый
boyhood;отроческий;
through;через;сквозь
paging;пейджинговый;
dormant;бездействующий;
approached;приближенный;
ancient;древний;старинный, античный
Hellene;эллин;
ascending;восходящий;
dragged;перетаскиваемый;
along;вдоль;
hugging;обнимающий;
trouser;брюки;
numinous;сверхъестественный;мистический
wrath;гнев;ярость, злоба
poll;опрос;социологическое исследование, опрос общественного мнения
calm;спокойный;невозмутимый, тихий
calm;спокойный;невозмутимый, тихий
calm down;успокаивать;успокоиться, успокоить
meantime;между тем;
settle;селиться;
confusion;путаница;неразбериха, беспорядок
lest;иначе;
furtive;вороватый;хитрый, скрытный
peculiarity;особенность;специфика, специфичность
lack;отсутствие;недостаток, недостаточность
consequence;последствие;следствие, результат
gradually;постепенно;понемногу, исподволь
sour;кислый;кисловатый, терпкий
outpouring;излияние;
frank;Фрэнк;Френк
presumably;предположительно;возможно, наверное
conflation;объединение;
mere;простой;
being;бытие;существование
latter;последний;недавний
Erinyes;эринии;
former;бывший;
merely;просто;только, лишь
avenging;карающий;
appearance;внешний вид;наружность, внешность
sinner;грешник;грешница, нечестивец
poplar;тополь;
sinner;грешник;грешница, нечестивец
yet;пока;еще, все еще
to suffer;болеть;
pangs;муки;потуги
sack;мешок;вкладыш, мешочек
eternal;вечный;вековечный, бесконечный
punishment;наказание;мера наказания, казнь
spread;распространение;расползание
cheerful;веселый;бодрый, радостный
occur;происходить;случаться, иметь место
astronaut;астронавт;космонавт
unutterably;невыразимо;
embodied;воплощенный;запечатленный, воплотившийся
artisanal;кустарный;артельный
roaster;жаровня;вертел
nimble;проворный;ловкий, шустрый
brought;доведенный;доводимый
however;однако;
merely;просто;только, лишь
categorical;категорический;категоричный, категориальный
exhausted;измученный;истощенный, обессиленный
textual;текстовый;
measuring;обмер;измерение, замер
there;там;здесь, туда
obtaining;получение;приобретение
laid;проложенный;прокладываемый
consequently;вследствие;
vice;порок;
versa;наоборот;
drastically;коренным образом;
desirability;желательность;целесообразность, желанность
stomach;желудок;животик, живот
showing up;показывающий;
instead;вместо;
emerged;образовавшийся;
fascinated;очарованный;зачарованный, завороженный
chilly;прохладно;холодно, зябко
mottled;пестрый;
sequence;последовательность;чередование
wherewithal;деньги;средства
truly;действительно;в самом деле, воистину
dreamlike;сказочный;
weird;странный;необычный, непонятный
aimed;прицельный;
welding;сварка;сварочные работы, приварка
carom;карамболь;
supposed;предполагаемый;
field;поле;
varied;разнообразный;различный, разный
weird;странный;необычный, непонятный
ruddy;румяный;краснощекий
freckle;веснушка;
prone;склонный;
performed;выполненный;выполняемый, исполненный
anxiety;тревожность;тревога, беспокойство
bordering;граничащий;прилегающий
flown;доставленный;
crestfallen;удрученный;
foe;враг;противник, недруг
girded;опоясанный;
presently;сейчас;ныне, теперь
fell;валить;свалить, повалить
shaving;бритвенный;
reddish;красноватый;рыжеватый
growth;рост;прирост, увеличение
noticed;замеченный;отмеченный, подмеченный
handling;обращение;
unconscious;без сознания;без чувств
handling;обращение;
assumed;предполагаемый;
pleasantly;приятно;весело, мило
Mindfulness;внимательность;осознанность
effort;усилие;старание, сила
blissful;блаженный;благословенный, благодатный
dingy;тусклый;темный
weird;странный;необычный, непонятный
pallor;бледность;
ripening;созревание;вызревание, дозревание
warmer;грелка;
shaft;вал;шпиндель, валик
sink;раковина;умывальник, мойка
pleasant;приятный;приятнейший
fragrance;аромат;благоухание, запах
persistent;настойчивый;упорный
each;каждый;всякий, любой
iridescent;радужный;
kin;род;семья
kind;добрый;любезный, доброжелательный
weak;слабый;неэффективный, вялый
fractured;сломанный;раздробленный, расколотый
pure;чистый;чистейший, ясный
commonplace;банальность;пошлость, обыденность
even;даже;еще, хоть
simplified;упрощенный;
treating;угощение;
previously;ранее;предварительно, заранее
least;наименьший;минимальный, меньший
being;бытие;существование
that;что;чтоб
shiny;блестящий;яркий
hire;нанимать;арендовать, нанять
weird;странный;необычный, непонятный
far;далеко;вдаль
being;бытие;существование
frustration;фрустрация;разочарование, огорчение
dazzled;ослепленный;
shrink;сокращаться;уменьшаться, сократиться
proved;доказанный;доказавший, проверенный
vaguely;неясно;смутно
whack;сильный удар;удар
even;даже;еще, хоть
erecting;возведение;сооружение
flanking;фланговый;боковой
instance;пример;случай
expect;ожидать;ждать
unintentionally;непреднамеренно;неумышленно, невольно
offensive;агрессивный;наступательный
knack;умение;ловкость, сноровка
imperfect;несовершенный;неполный, неидеальный
tinnitus;звон в ушах;шум в ушах, ушной шум
particular;определенный;конкретный, специфический
construed;рассмотренный;
decade;десятилетие;декада
earlier;выше;прежде
least;наименьший;минимальный, меньший
referred;называемый;
devised;изобретенный;придуманный
lumped;общий;
lumpy;комковатый;бугорчатый, бугристый
lumped;общий;
din;шум;грохот, гул
deemed;признанный;
unlikely;вряд ли;едва ли
wards;отделения больницы;
consequence;последствие;следствие, результат
appointment;назначение;прием
sack;мешок;вкладыш, мешочек
sweep;подметать;мести, подмести
joint;совместный;общий, коллективный
sidewalk;тротуар;бордюр
certain;определенный;отдельный, конкретный
sense;чувство;ощущение
even;даже;еще, хоть
fond;любящий;
mere;простой;
proprietor;собственник;хозяин, владелец
inferred;выведенный;
acquired;приобретенный;приобретаемый, полученный
oven;духовка;печь, духовой шкаф
kneading;замес;
marble;мрамор;
slab;плита;пластина, плитка
operation;операция;сделка
senior;старший;главный, высокопоставленный
deem;считать;счесть, посчитать
front;фасад;
sport;спорт;вид спорта, занятие спортом
counter;счетчик;
acquired;приобретенный;приобретаемый, полученный
bushel;бушель;
ripe;спелый;зрелый
acquired;приобретенный;приобретаемый, полученный
elbow;локоть;колено, локтевой сустав
led;светоизлучающий диод;
stash;припрятывать;копить, спрятать
bent;изогнутый;согнутый, погнутый
paw;лапа;лапища, лапка
specimen;образец;экземпляр, проба
perching;сидевший;
which;который;
grocery;бакалея;
dismay;страх;испуг, ужас
recoil;откат;отскок
cottony;пушистый;
stem;стебель;ножка, черешок
particular;определенный;конкретный, специфический
insisting;настойчивость;
admire;восхищаться;любоваться, полюбоваться
customary;обычный;привычный, традиционный
least;наименьший;минимальный, меньший
two-thirds;две трети;
obey;подчиняться;повиноваться, слушаться
oven;духовка;печь, духовой шкаф
remaining;оставшийся;остающийся, сохраняющийся
comprised;включаемый;
crust;корка;струп, корочка
embarrassment;смущение;замешательство, неловкость
doubt;сомнение;сомненье
significant;значительный;существенный, серьезный
promoted;назначенный;
warning;предупреждение;предостережение, оповещение
cast;бросать;отбрасывать, бросить
plate;тарелка;блюдо, тарелочка
complications;осложненный;
lapse;оплошность;ошибка, описка
senility;старость;дряхлость, одряхление
demolished;снесенный;сносимый
argue;спорить;утверждать, поспорить
oblivious;забывчивый;рассеянный
rundown;захудалый;
naivet;наивность;
onset;начало;
modest;скромный;небогатый
chapter;глава;
firm;твердый;жесткий, плотный
staff;персонал;кадры, коллектив
unfit;нездоровый;
amid;среди;посреди, между
amidships;посередине судна;
accusatory;обвинительный;обличительный
deaf;глухой;глуховатый
willed;волевой;
brought;доведенный;доводимый
instead;вместо;
glove;перчатка;рукавица, варежка
straight;прямой;прямолинейный, вертикальный
however;однако;
formal;формальный;официальный
neatly;аккуратно;опрятно
tie;галстук;
wearing;носящий;надевший
formed;образующийся;
roll-up;самокрутка;
parlance;язык;
acquiring;приобретающий;приобретший, получающий
same;одинаковый;равный
induced;вызванный;вызываемый, порожденный
hefty;изрядный;дюжий, здоровенный
means;средства;средство
sink;раковина;умывальник, мойка
admit;признавать;признать
overseen;надзиранный;
shift;сдвиг;смена, изменение
lavishly;щедро;обильно
departure;отправление;отправка
far;далеко;вдаль
tinnitus;звон в ушах;шум в ушах, ушной шум
unearthly;неземной;внеземной
dreaded;ужасный;страшный
lavish;обильный;богатый
fortified;укрепленный;усиленный
apparently;по-видимому;видимо, вероятно
inexpensive;недорогой;дешевый, экономичный
induce;вызывать;приводить, заставить
marker;маркер;фломастер
evoke;вызывать;вызвать
enthusiastically;с восторгом;с энтузиазмом, с воодушевлением
ripped;разорванный;сорванный
torrent;поток;
university;университет;вуз
university;университет;вуз
assurance;уверенность;самоуверенность, убежденность
sweep;подметать;мести, подмести
poignancy;острота;мучительность, пронзительность
helpmeet;помощник;помощница
sidekick;приятель;напарник, кореш
omitted;опущенный;
dignity;достоинство;благородство, величие
sheep;овца;баран, овечка
remark;замечание;высказывание
insight;понимание;постижение, знание
posited;положенный;
particular;определенный;конкретный, специфический
treating;угощение;
friend;друг;приятель, товарищ
planted;засаженный;посаженный
suspicion;подозрение;сомнение, опасение
inspiring;вдохновляющий;воодушевляющий
swung;раскачанный;
vehicle;транспортное средство;автомобиль, транспортные средства
halted;остановленный;
labored;затрудненный;
bearings;подшипник;пеленг
obliterated;уничтоженный;
depicted;изображенный;показанный, отображенный
occurred;возникший;произошедший
torn;порванный;разорванный, надорванный
morbid;болезненный;нездоровый, патологический
assumed;предполагаемый;
plenty;множество;масса, большое количество
leisure;досуг;отдых, проведение досуга
saw;пилить;распиливать, распилить
trench;котлован;траншея, ров
shallow;мелкий;
certain;определенный;отдельный, конкретный
injured;раненый;
stray;бездомный;беспризорный, бродячий
grief;горе;печаль, несчастье
kept;хранившийся;сохраненный, сохраняемый
matching;совмещение;сочетание
however;однако;
singly;отдельно;самостоятельно, порознь
clusters;кассет;
eventually;в итоге;в конечном счете, в конечном итоге
emerged;образовавшийся;
trench;котлован;траншея, ров
onto;на;в
span;промежуток;интервал, период
brink;край;грань
blazing;пылающий;ярко горящий, горящий
passed;пройденный;проехавший
adjoining;прилегающий;примыкающий, граничащий
inserted;вставленный;вставляемый, воткнутый
evidently;очевидно;
annoyed;раздраженный;раздосадованный, рассерженный
manner;манера;способ, метод
claimed;заявленный;
which;который;
ahead;впереди;вперед, спереди
schedule;график;расписание, график работы
brew;варить;приготовить, сварить
alley;аллея;переулок, проулок
purposes;нужда;
liner;футеровка;подкладка, прокладка
obvious;очевидный;заметный, ясный
vehicle;транспортное средство;автомобиль, транспортные средства
interaction;взаимодействие;взаимосвязь, взаимоотношение
intension;напряжение;интенсивность, напряженность
weird;странный;необычный, непонятный
merely;просто;только, лишь
cop;полицейский;полисмен, мент
convincingly;убедительно;убежденно
assumed;предполагаемый;
goal;цель;задача
vehicles;транспортные;
pursuit;преследование;погоня
convinced;убежденный;
above;выше;более, свыше
loom;ткацкий станок;станок
claimed;заявленный;
themselves;сами;
combined;комбинированный;комплексный
maze;лабиринт;дебри
devoted;посвященный;приуроченный
spur;побуждать;подстрекать, побудить
stroll;прогулка;
maples;Мейплз;
presumably;предположительно;возможно, наверное
leafy;лиственный;листовой
musin;Мусин;
appreciate;ценить;оценивать, оценить
admit;признавать;признать
pleasure;удовольствие;наслаждение, удовлетворение
these;эти;они, сии
intrinsic;присущий;
accident;несчастный случай;авария, катастрофа
same;одинаковый;равный
wet;мокрый;сырой, влажный
moisture;влажность;влага, сырость
leaves;листва;
plastered;намазанный;
redness;краснота;покраснение, покраснение кожи
tried;испытанный;проверенный, опробованный
whether;ли;
intrinsic;присущий;
feeding;кормление;питание, подача
puddle;лужа;лужица
spilled;пролитый;
programmatically;программно;
beam;луч;пучок лучей, луч света
ladder;лестница;трап, стремянка
glorified;прославленный;прославляемый
swarm;рой;пчелиный рой
lofty;возвышенный;величественный, величавый
consider;рассматривать;рассмотреть, расценивать
aside;в сторону;
ruined;разрушенный;разоренный, загубленный
swallow;глотать;сглотнуть, проглотить
manner;манера;способ, метод
seemed;показавшийся;
mastery;мастерство;исполнительское мастерство
least;наименьший;минимальный, меньший
sheen;блеск;сияние, глянец
griddle;сковорода;сковородка, противень
cast;бросать;отбрасывать, бросить
cedar;кедр;криптомерия
pucker;морщить;морщиться
exact;точный;правильный, аккуратный
shortening;сокращение;уменьшение
stride;шаг;
curb;узда;
approached;приближенный;
remaining;оставшийся;остающийся, сохраняющийся
upright;вертикально;в вертикальном положении
pan;кастрюля;сковорода, противень
strain;напряжение;нагрузка, натяжение
numb;онемевший;оцепеневший, затекший
magnate;магнат;воротила
idly;лениво;
wonder;удивляться;недоумевать, дивиться
snatched;вырванный;
maple;клен;Явор
particulary;особенно;
plaster;штукатурка;гипс, шпаклевка
assume;предполагать;допускать, предположить
almost;почти;практически, фактически
sinister;зловещий;мрачный
undeniable;бесспорный;неоспоримый, несомненный
girders;несущие балки;
draining;осушение;дренаж, дренирование
spatial;пространственный;территориальный, географический
mulch;мульча;мульчирование, перегной
gutter;водосток;водосточный желоб, желоб
spare;запасной;запасный, резервный
slipped;соскользнувший;
twelve;двенадцать;
mild;мягкий;легкий, небольшой
consternation;ужас;испуг
forearm;предплечье;цевье
newfangled;новомодный;
splint;шина;
gimp;канитель;позумент
approach;подход;метод, способ
indeed;действительно;в самом деле, конечно
splint;шина;
awkward;неловкий;неудобный, неуклюжий
seemly;приличный;
adult;совершеннолетний;зрелый, пожилой
appealing;привлекательный;притягательный
halt;остановка;останов
nodding;кивание;
errand;поручение;задание
narrating;повествующий;рассказывающий
thus;таким образом;
mildly;мягко;умеренно, слегка
stricken;пораженный;потрясенный, пострадавший
acute;острый;резкий, сильный
assuage;успокаивать;успокоить, умиротворять
pang;острая боль;боль
anxiety;тревожность;тревога, беспокойство
spared;сэкономленный;
appointment;назначение;прием
stupendous;изумительный;удивительный
felt;войлок;фетр, сукно
prominent;видный;заметный, важный
sock;носок;стелька, чулок
nurse;медсестра;медицинская сестра, сиделка
unseemly;неподобающий;непристойный, неблаговидный
fuss;суета;суматоха, возня
scented;надушенный;ароматизированный
once;некогда;единожды, как только
thought;мысль;помышление, помысел
sense;чувство;ощущение
fiscal;фискальный;финансовый, бюджетный
immensity;необъятность;безграничность, беспредельность
clamped;зажатый;пережатый
clamp;зажим;скоба, хомут
purposes;нужда;
definitely;определенно;явно, обязательно
presumable;предположительный;возможный
foggy;туманный;мутный, мглистый
thereof;из этого;
show up;появляться;появиться, показаться
certain;определенный;отдельный, конкретный
groggy;непрочный;шаткий
entailed;повлекший;
guilt;чувство вины;комплекс вины
assuage;успокаивать;успокоить, умиротворять
number;номер;порядковый номер
hurl;метать;швырнуть, бросить
laps;кругов дистанции;
reckon;рассчитывать;причислять, рассчитать
biding;выжидание;
scrubs;заросли;
striding;шагающий;
fro;обратно;
concern;беспокойство;озабоченность, обеспокоенность
vaguely;неясно;смутно
aware;осведомленный;
sudden;внезапный;неожиданный, стремительный
distressed;обеспокоенный;огорченный
almost;почти;практически, фактически
pulled;натянутый;
reverie;мечтательность;забытье, задумчивость
reverie;мечтательность;забытье, задумчивость
whatever;что угодно;
there;там;здесь, туда
at;на;при, в
fireman;пожарный;
scrubs;заросли;
reached;достигнутый;достигаемый, достигший
burst;взрыв;всплеск
heel;каблук;пятка, задник
detached;отдельный;обособленный
curiously;любопытно;странно, как ни странно
evidently;очевидно;
ill;больной;тяжело больной
suffered;понесенный;
mildly;мягко;умеренно, слегка
comforting;утешительный;
sat;севший;
straight;прямой;прямолинейный, вертикальный
further;дальнейший;последующий, следующий
clasped;застегнутый;застегивающийся
glisten;блестеть;сверкать, сиять
firing;обжиг;сжигание, горение
burst;взрыв;всплеск
gripping;захватывающий;
edges;стыки;
their;их;
angle;угол;уголок, ракурс
hauled;доставляемый;
better;лучше;
scrambled;скремблированный;
scramble;карабкаться;взбираться, вскарабкаться
maneuver;маневр;маневрирование
reckless;безрассудный;опрометчивый, необдуманный
gown;платье;наряд
metering;измерение;замер, отмеривание
weird;странный;необычный, непонятный
crisis;кризис;
merely;просто;только, лишь
eager;жаждущий;стремящийся
offended;обиженный;оскорбивший, оскорбленный
weird;странный;необычный, непонятный
dumped;сброшенный;выброшенный
lap;круг;
glimpse;проблеск;отсвет
odd;странный;необычный, непонятный
convince;убеждать;уверять, убедить
suffered;понесенный;
wailing;плачущий;вопящий, стенающий
relief;облегчение;утешение
drunk;пьяный;нетрезвый, полупьяный
reorganise;реорганизовать;реорганизовывать
nest;гнездо;гнездышко
attended;посещенный;посещаемый
till;пока;
ocd;ОКР;
least;наименьший;минимальный, меньший
expectations;ожидания потребителей;
meals;трехразовое питание;
consecutive;последовательный;
gossiping;сплетничающий;
complaining;жалующийся;пожаловавшийся
humbled;посрамленный;приниженный
reached;достигнутый;достигаемый, достигший
floor;этаж;
